City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2022-05-14 04:29:12,-21.3585,55.7679,71.19,71,36,6.91
1,Tutoia,BR,2022-05-14 04:29:12,-2.7619,-42.2744,76.95,90,100,9.48
2,Albany,US,2022-05-14 04:29:13,42.6001,-73.9662,69.17,81,1,3.62
3,Avarua,CK,2022-05-14 04:25:34,-21.2078,-159.775,82.45,78,100,9.22
4,Tripoli,LY,2022-05-14 04:27:01,32.8752,13.1875,65.5,55,0,5.88
5,Ouargaye,BF,2022-05-14 04:29:14,11.5033,0.0572,83.97,56,98,8.34
6,Butaritari,KI,2022-05-14 04:25:38,3.0707,172.7902,80.98,72,85,4.38
7,Walvis Bay,NA,2022-05-14 04:29:15,-22.9575,14.5053,56.08,93,0,5.75
8,Amapa,BR,2022-05-14 04:29:16,1.0,-52.0,71.78,99,91,1.72
9,Saldanha,ZA,2022-05-14 04:29:17,-33.0117,17.9442,46.45,81,34,5.23
10,Manta,EC,2022-05-14 04:29:18,-0.95,-80.7333,74.98,88,100,5.75
11,Narsaq,GL,2022-05-14 04:29:18,60.9167,-46.05,30.42,82,52,4.72
12,Ushuaia,AR,2022-05-14 04:26:25,-54.8,-68.3,40.66,100,100,5.75
13,Ashland,US,2022-05-14 04:29:19,40.8167,-82.2665,66.74,80,59,5.84
14,Kapaa,US,2022-05-14 04:29:20,22.0752,-159.319,80.58,84,75,14.97
15,Tambura,SS,2022-05-14 04:29:20,5.6,27.4667,67.62,97,93,3.89
16,Barrow,US,2022-05-14 04:29:21,71.2906,-156.7887,21.22,86,100,9.22
17,Acu,BR,2022-05-14 04:29:22,-5.5767,-36.9086,76.12,84,96,5.44
18,Rikitea,PF,2022-05-14 04:29:22,-23.1203,-134.9692,77.27,75,4,20.22
19,Progreso,MX,2022-05-14 04:29:24,21.2833,-89.6667,77.11,71,0,12.5
20,Chokurdakh,RU,2022-05-14 04:29:25,70.6333,147.9167,20.93,83,100,7.47
21,Hermanus,ZA,2022-05-14 04:24:40,-34.4187,19.2345,53.8,77,89,5.46
22,Erenhot,CN,2022-05-14 04:29:26,43.6475,111.9767,58.08,19,2,9.95
23,Komsomolskiy,UZ,2022-05-14 04:29:26,40.4272,71.7189,65.12,72,20,4.61
24,Airai,TL,2022-05-14 04:29:27,-8.9266,125.4092,75.92,56,25,2.62
25,Cabo San Lucas,MX,2022-05-14 04:26:15,22.8909,-109.9124,77.5,56,100,3.0
26,Port Alfred,ZA,2022-05-14 04:26:05,-33.5906,26.891,54.18,89,50,1.99
27,Busselton,AU,2022-05-14 04:29:28,-33.65,115.3333,63.48,63,94,18.34
28,Shellbrook,CA,2022-05-14 04:29:28,53.2168,-106.4011,36.63,96,100,15.7
29,Hobart,AU,2022-05-14 04:28:40,-42.8794,147.3294,64.26,85,75,16.11
30,Punta Arenas,CL,2022-05-14 04:29:29,-53.15,-70.9167,35.71,87,0,2.3
31,Oistins,BB,2022-05-14 04:29:29,13.0667,-59.5333,78.89,78,40,19.57
32,Nantucket,US,2022-05-14 04:27:24,41.2835,-70.0995,64.54,94,100,10.36
33,Kruisfontein,ZA,2022-05-14 04:29:30,-34.0033,24.7314,50.88,80,31,7.54
34,Mbarara,UG,2022-05-14 04:29:31,-0.608,30.65,60.08,91,58,3.6
35,Gamba,GA,2022-05-14 04:29:31,-2.65,10.0,76.15,94,71,4.74
36,Batsfjord,NO,2022-05-14 04:29:32,70.6345,29.7185,37.33,80,100,9.22
37,Coruripe,BR,2022-05-14 04:29:32,-10.1256,-36.1756,76.26,87,33,5.06
38,Yellowknife,CA,2022-05-14 04:25:21,62.456,-114.3525,54.12,43,40,3.44
39,Bereda,ES,2022-05-14 04:29:33,43.2686,-7.5406,58.41,95,100,1.25
40,Kaitangata,NZ,2022-05-14 04:29:33,-46.2817,169.8464,51.98,87,89,7.99
41,Kholm-Zhirkovskiy,RU,2022-05-14 04:29:34,55.5189,33.4731,45.48,81,93,8.9
42,Cockburn Town,TC,2022-05-14 04:29:34,21.4612,-71.1419,78.89,86,100,26.11
43,Mahebourg,MU,2022-05-14 04:25:54,-20.4081,57.7,76.24,69,40,5.75
44,Arbagar,RU,2022-05-14 04:29:35,51.9438,116.2805,63.25,25,26,12.28
45,Iqaluit,CA,2022-05-14 04:29:35,63.7506,-68.5145,19.13,79,100,11.5
46,Zhigansk,RU,2022-05-14 04:29:36,66.7697,123.3711,30.24,60,81,16.22
47,Cape Town,ZA,2022-05-14 04:28:07,-33.9258,18.4232,54.91,93,40,6.91
48,Vaini,TO,2022-05-14 04:29:36,-21.2,-175.2,75.36,64,20,11.5
49,Toamasina,MG,2022-05-14 04:29:37,-18.1667,49.3833,69.8,88,40,5.75
50,Esperance,AU,2022-05-14 04:26:17,-33.8667,121.9,69.64,54,11,24.65
51,Qaanaaq,GL,2022-05-14 04:29:37,77.484,-69.3632,11.12,69,27,7.25
52,Velykoploske,UA,2022-05-14 04:29:38,47.0125,29.6717,60.3,92,85,7.99
53,Zarand,IR,2022-05-14 04:29:38,30.8127,56.564,60.84,40,0,7.07
54,Cherskiy,RU,2022-05-14 04:29:39,68.75,161.3,45.05,58,74,18.7
55,Meulaboh,ID,2022-05-14 04:29:39,4.1363,96.1285,86.09,67,81,2.08
56,Hami,CN,2022-05-14 04:29:40,42.8,93.45,70.02,6,14,7.27
57,Pangoa,PE,2022-05-14 04:29:40,-12.1167,-73.0,67.6,90,4,2.64
58,Puerto Escondido,MX,2022-05-14 04:29:41,15.85,-97.0667,83.12,78,100,7.07
59,Nhulunbuy,AU,2022-05-14 04:29:41,-12.2333,136.7667,86.61,54,40,9.22
60,Bulgan,MN,2022-05-14 04:29:42,48.8125,103.5347,56.25,24,3,2.35
61,Pangnirtung,CA,2022-05-14 04:29:42,66.1451,-65.7125,7.79,82,5,7.61
62,Mataura,NZ,2022-05-14 04:29:43,-46.1927,168.8643,50.49,91,70,3.89
63,New Norfolk,AU,2022-05-14 04:29:43,-42.7826,147.0587,63.9,88,100,3.6
64,Bambous Virieux,MU,2022-05-14 04:29:43,-20.3428,57.7575,76.21,69,40,5.75
65,Vershino-Darasunskiy,RU,2022-05-14 04:29:44,52.35,115.5167,58.03,27,21,11.25
66,Severo-Kurilsk,RU,2022-05-14 04:26:02,50.6789,156.125,39.58,93,100,17.54
67,Mpanda,TZ,2022-05-14 04:29:45,-6.3655,31.0409,64.62,86,99,1.72
68,Saskylakh,RU,2022-05-14 04:29:45,71.9167,114.0833,20.62,84,44,1.83
69,Port Elizabeth,ZA,2022-05-14 04:29:46,-33.918,25.5701,59.31,73,0,12.66
70,Russell,US,2022-05-14 04:25:42,32.3502,-85.1999,69.4,88,0,0.0
71,Chuy,UY,2022-05-14 04:26:05,-33.6971,-53.4616,55.54,83,100,5.17
72,Isangel,VU,2022-05-14 04:29:47,-19.55,169.2667,76.82,67,79,15.05
73,Hithadhoo,MV,2022-05-14 04:29:47,-0.6,73.0833,82.81,71,100,8.19
74,Chimore,BO,2022-05-14 04:29:48,-16.9833,-65.1333,72.48,81,85,0.45
75,Cidreira,BR,2022-05-14 04:29:48,-30.1811,-50.2056,63.37,80,64,12.64
76,Brae,GB,2022-05-14 04:29:49,60.3964,-1.353,45.64,81,90,11.16
77,Zheleznodorozhnyy,RU,2022-05-14 04:29:49,55.7503,38.0042,51.35,70,51,11.39
78,Caravelas,BR,2022-05-14 04:29:49,-17.7125,-39.2481,73.22,85,78,6.22
79,Geraldton,AU,2022-05-14 04:25:44,-28.7667,114.6,68.41,68,100,4.61
80,Ylojarvi,FI,2022-05-14 04:29:50,61.5563,23.5961,46.62,70,0,4.61
81,Georgetown,MY,2022-05-14 04:25:05,5.4112,100.3354,91.33,70,20,6.91
82,Vuktyl,RU,2022-05-14 04:29:51,63.8567,57.3094,56.07,58,96,8.77
83,Tommot,RU,2022-05-14 04:29:51,58.9564,126.2925,41.77,62,100,9.66
84,Husavik,IS,2022-05-14 04:29:52,66.0449,-17.3389,30.18,94,95,3.83
85,Belmonte,BR,2022-05-14 04:29:52,-15.8631,-38.8828,73.74,88,80,4.12
86,Souillac,MU,2022-05-14 04:29:53,-20.5167,57.5167,75.58,69,40,5.75
87,Nyandoma,RU,2022-05-14 04:29:53,61.669,40.1991,42.42,96,100,7.25
88,Najran,SA,2022-05-14 04:29:54,17.4924,44.1277,74.05,17,78,3.4
89,Pisco,PE,2022-05-14 04:29:54,-13.7,-76.2167,61.02,88,4,4.61
90,Itapora,BR,2022-05-14 04:29:55,-22.0799,-54.7874,63.09,81,0,5.12
91,Katsuura,JP,2022-05-14 04:29:55,35.1333,140.3,69.82,94,100,21.99
92,Port Augusta,AU,2022-05-14 04:29:55,-32.5,137.7667,75.24,41,57,7.96
93,Kavaratti,IN,2022-05-14 04:29:56,10.5669,72.642,80.17,86,99,11.79
94,Pevek,RU,2022-05-14 04:29:57,69.7008,170.3133,34.29,77,18,20.29
95,Bluff,NZ,2022-05-14 04:25:44,-46.6,168.3333,50.81,76,96,12.82
96,Salinopolis,BR,2022-05-14 04:29:57,-0.6136,-47.3561,79.02,88,32,9.86
97,Creel,MX,2022-05-14 04:29:58,27.75,-107.6333,51.69,16,2,5.21
98,Los Llanos De Aridane,ES,2022-05-14 04:29:12,28.6585,-17.9182,65.12,78,100,11.01
99,Okhotsk,RU,2022-05-14 04:29:58,59.3833,143.3,34.02,97,100,10.78
100,Belyy Yar,RU,2022-05-14 04:29:59,53.6039,91.3903,70.86,17,0,4.47
101,Shahpur,IN,2022-05-14 04:29:59,16.7,76.8333,91.58,40,36,12.59
102,Sandwick,GB,2022-05-14 04:30:00,60.0,-1.25,48.02,87,100,14.97
103,Zyryanka,RU,2022-05-14 04:30:00,65.75,150.85,32.27,78,100,13.2
104,Mangrol,IN,2022-05-14 04:30:01,21.1167,70.1167,87.93,65,8,13.73
105,Atuona,PF,2022-05-14 04:30:01,-9.8,-139.0333,78.94,70,8,20.85
106,Ucluelet,CA,2022-05-14 04:30:02,48.9329,-125.5528,45.09,84,100,7.0
107,La Ceiba,HN,2022-05-14 04:30:03,15.7597,-86.7822,71.42,88,20,0.0
108,Ostrovnoy,RU,2022-05-14 04:30:03,68.0531,39.5131,41.16,86,100,3.69
109,Lekoni,GA,2022-05-14 04:30:04,-1.5843,14.2591,72.99,90,81,2.84
110,Asfi,MA,2022-05-14 04:30:04,32.2994,-9.2372,64.94,83,72,7.74
111,Leningradskiy,RU,2022-05-14 04:30:05,69.3833,178.4167,35.33,93,54,5.06
112,Tuktoyaktuk,CA,2022-05-14 04:30:06,69.4541,-133.0374,24.8,86,100,18.41
113,Thompson,CA,2022-05-14 04:25:39,55.7435,-97.8558,33.96,93,100,14.97
114,Upernavik,GL,2022-05-14 04:30:07,72.7868,-56.1549,4.46,90,23,4.5
115,Sitka,US,2022-05-14 04:26:04,57.0531,-135.33,44.49,81,100,4.61
116,Patitirion,GR,2022-05-14 04:30:07,39.15,23.8667,65.37,63,33,3.36
117,Mount Gambier,AU,2022-05-14 04:30:08,-37.8333,140.7667,67.91,60,100,20.71
118,Dombarovskiy,RU,2022-05-14 04:30:09,50.7587,59.5386,56.71,79,100,18.86
119,Poum,NC,2022-05-14 04:30:09,-20.2333,164.0167,76.05,72,98,25.86
120,Monte Escobedo,MX,2022-05-14 04:30:10,22.3,-103.5833,59.97,56,88,2.98
121,Nevel,RU,2022-05-14 04:30:10,56.0209,29.9284,46.69,71,78,6.82
122,Praia Da Vitoria,PT,2022-05-14 04:30:11,38.7333,-27.0667,57.45,100,40,7.23
123,Khatanga,RU,2022-05-14 04:30:11,71.9667,102.5,30.72,99,100,8.88
124,North Platte,US,2022-05-14 04:26:21,41.1239,-100.7654,62.26,49,41,5.99
125,Faanui,PF,2022-05-14 04:30:12,-16.4833,-151.75,81.39,72,64,15.95
126,Provideniya,RU,2022-05-14 04:30:12,64.3833,-173.3,39.99,60,49,6.22
127,Carnarvon,AU,2022-05-14 04:30:13,-24.8667,113.6333,71.67,43,0,18.41
128,Ocampo,MX,2022-05-14 04:30:13,21.65,-101.5,62.28,47,47,9.51
129,Atambua,ID,2022-05-14 04:30:14,-9.1061,124.8925,83.68,65,22,3.27
130,Kupino,RU,2022-05-14 04:30:14,54.3663,77.2981,76.73,25,63,11.34
131,Jamestown,US,2022-05-14 04:26:00,42.097,-79.2353,67.64,77,0,8.05
132,Olinda,BR,2022-05-14 04:30:15,-8.0089,-34.8553,76.73,94,75,3.44
133,Fort Nelson,CA,2022-05-14 04:25:38,58.8053,-122.7002,47.79,87,100,0.0
134,Belyy,RU,2022-05-14 04:30:16,55.8402,32.9419,48.31,68,80,8.48
135,Yerbogachen,RU,2022-05-14 04:30:16,61.2767,108.0108,61.25,50,72,2.19
136,Karaman,TR,2022-05-14 04:30:17,37.0833,33.25,59.54,43,61,9.82
137,Nanga Eboko,CM,2022-05-14 04:30:17,4.6833,12.3667,67.42,100,100,1.61
138,Gondanglegi,ID,2022-05-14 04:30:17,-7.7479,112.0132,88.95,65,43,4.97
139,Nzerekore,GN,2022-05-14 04:30:18,7.7562,-8.8179,69.89,99,89,1.36
140,Ribeira Grande,PT,2022-05-14 04:30:18,38.5167,-28.7,60.62,73,37,12.8
141,Alihe,CN,2022-05-14 04:30:19,50.5667,123.7167,53.04,43,100,8.81
142,Vilyuysk,RU,2022-05-14 04:30:19,63.7553,121.6247,37.35,52,83,11.7
143,Constitucion,CL,2022-05-14 04:30:20,-35.3333,-72.4167,51.24,58,100,5.66
144,Olds,CA,2022-05-14 04:25:38,51.7834,-114.102,44.74,87,100,9.22
145,Mombasa,KE,2022-05-14 04:30:21,-4.0547,39.6636,79.93,74,11,13.58
146,Ancud,CL,2022-05-14 04:30:21,-41.8697,-73.8203,49.06,88,100,5.41
147,Xuddur,SO,2022-05-14 04:30:21,4.1213,43.8894,76.59,75,39,15.52
148,Alice Springs,AU,2022-05-14 04:25:55,-23.7,133.8833,89.15,20,18,8.05
149,Gorom-Gorom,BF,2022-05-14 04:30:22,14.4439,-0.2361,83.77,11,52,3.85
150,Lavrentiya,RU,2022-05-14 04:30:22,65.5833,-171.0,30.92,86,51,3.89
151,Victoria,HK,2022-05-14 04:26:51,22.2855,114.1577,80.33,91,73,5.99
152,La Mana,EC,2022-05-14 04:30:27,-0.9333,-79.2167,73.6,92,67,2.19
153,Dikson,RU,2022-05-14 04:30:27,73.5069,80.5464,33.12,98,100,16.17
154,Saiha,IN,2022-05-14 04:30:29,22.4833,92.9667,82.47,67,56,3.67
155,Bredasdorp,ZA,2022-05-14 04:30:30,-34.5322,20.0403,53.04,86,61,6.53
156,Bekhtery,UA,2022-05-14 04:30:32,46.251,32.2927,59.63,83,99,10.22
157,Te Anau,NZ,2022-05-14 04:30:34,-45.4167,167.7167,55.09,91,89,3.27
158,Lompoc,US,2022-05-14 04:30:41,34.6391,-120.4579,61.59,83,0,14.97
159,La Macarena,CO,2022-05-14 04:30:41,2.1837,-73.7849,72.5,98,98,1.41
160,Riyadh,SA,2022-05-14 04:30:42,24.6877,46.7219,75.34,15,0,16.11
161,Karoi,ZW,2022-05-14 04:30:43,-16.8099,29.6925,57.38,86,0,4.05
162,Kidal,ML,2022-05-14 04:30:44,18.4411,1.4078,81.39,10,34,14.05
163,Camacha,PT,2022-05-14 04:30:44,33.0833,-16.3333,62.02,88,40,5.75
164,Labuhan,ID,2022-05-14 04:30:45,-6.8844,112.2051,86.29,72,97,7.38
165,Rio Grande,BR,2022-05-14 04:28:01,-32.035,-52.0986,61.11,79,100,11.52
166,Aleksandrov Gay,RU,2022-05-14 04:30:46,50.147,48.5704,60.53,61,16,11.23
167,Ellsworth,US,2022-05-14 04:26:18,44.5434,-68.4195,62.56,95,40,10.36
168,Ternate,ID,2022-05-14 04:30:47,0.8,127.4,80.51,81,99,6.17
169,Montepuez,MZ,2022-05-14 04:30:49,-13.1256,38.9997,65.73,82,5,3.22
170,The Valley,AI,2022-05-14 04:30:49,18.217,-63.0578,79.11,73,56,23.87
171,Lorengau,PG,2022-05-14 04:30:51,-2.0226,147.2712,85.33,63,33,7.27
172,Lebu,CL,2022-05-14 04:30:52,-37.6167,-73.65,48.34,78,98,16.46
173,Caceres,ES,2022-05-14 04:30:53,39.522,-6.3748,67.64,45,100,3.09
174,Hilo,US,2022-05-14 04:25:58,19.7297,-155.09,78.28,84,100,4.61
175,Calderitas,MX,2022-05-14 04:30:54,18.55,-88.25,77.63,67,0,6.62
176,Mwene-Ditu,CD,2022-05-14 04:30:54,-7.0,23.45,64.92,73,96,4.45
177,Yulara,AU,2022-05-14 04:30:55,-25.2406,130.9889,83.61,30,12,11.39
178,East London,ZA,2022-05-14 04:30:55,-33.0153,27.9116,61.74,72,0,10.36
179,Sao Filipe,CV,2022-05-14 04:26:15,14.8961,-24.4956,75.11,68,100,7.27
180,Vokhtoga,RU,2022-05-14 04:30:57,58.8147,41.0461,43.61,95,100,9.31
181,Hasaki,JP,2022-05-14 04:26:07,35.7333,140.8333,75.29,89,100,18.41
182,Port Macquarie,AU,2022-05-14 04:30:58,-31.4333,152.9167,76.89,76,11,13.42
183,Puerto Ayora,EC,2022-05-14 04:30:58,-0.7393,-90.3518,72.55,97,61,1.01
184,Calbuco,CL,2022-05-14 04:30:59,-41.768,-73.1273,45.61,80,100,6.2
185,Silute,LT,2022-05-14 04:30:59,55.3489,21.4831,49.68,92,73,15.1
186,College,US,2022-05-14 04:27:31,64.8569,-147.8028,47.07,60,75,8.05
187,Stockholm,SE,2022-05-14 04:31:00,59.3326,18.0649,48.88,91,100,5.75
188,Awjilah,LY,2022-05-14 04:31:00,29.1081,21.2869,64.6,61,0,13.82
189,Akdepe,TM,2022-05-14 04:31:01,42.0551,59.3788,66.29,29,3,8.55
190,Macaubas,BR,2022-05-14 04:31:02,-13.0194,-42.6986,69.71,67,79,6.64
191,Kibala,TD,2022-05-14 04:31:03,9.1104,18.3463,73.35,88,20,6.91
